,ABILIFY,ACETAMINOPHEN.CODEINE,ACYCLOVIR,ADVAIR.DISKUS,AGGRENOX,ALENDRONATE.SODIUM,ALLOPURINOL,ALPRAZOLAM,AMIODARONE.HCL,AMITRIPTYLINE.HCL,AMLODIPINE.BESYLATE,AMLODIPINE.BESYLATE.BENAZEPRIL,AMOXICILLIN,AMOX.TR.POTASSIUM.CLAVULANATE,AMPHETAMINE.SALT.COMBO,ATENOLOL,ATORVASTATIN.CALCIUM,AVODART,AZITHROMYCIN,BACLOFEN,BD.ULTRA.FINE.PEN.NEEDLE,BENAZEPRIL.HCL,BENICAR,BENICAR.HCT,BENZTROPINE.MESYLATE,BISOPROLOL.HYDROCHLOROTHIAZIDE,BRIMONIDINE.TARTRATE,BUMETANIDE,BUPROPION.HCL.SR,BUPROPION.XL,BUSPIRONE.HCL,BYSTOLIC,CARBAMAZEPINE,CARBIDOPA.LEVODOPA,CARISOPRODOL,CARTIA.XT,CARVEDILOL,CEFUROXIME,CELEBREX,CEPHALEXIN,CHLORHEXIDINE.GLUCONATE,CHLORTHALIDONE,CILOSTAZOL,CIPROFLOXACIN.HCL,CITALOPRAM.HBR,CLINDAMYCIN.HCL,CLOBETASOL.PROPIONATE,CLONAZEPAM,CLONIDINE.HCL,CLOPIDOGREL,CLOTRIMAZOLE.BETAMETHASONE,COLCRYS,COMBIVENT.RESPIMAT,CRESTOR,CYCLOBENZAPRINE.HCL,DEXILANT,DIAZEPAM,DICLOFENAC.SODIUM,DICYCLOMINE.HCL,DIGOX,DIGOXIN,DILTIAZEM.24HR.CD,DILTIAZEM.24HR.ER,DILTIAZEM.ER,DILTIAZEM.HCL,DIOVAN,DIPHENOXYLATE.ATROPINE,DIVALPROEX.SODIUM,DIVALPROEX.SODIUM.ER,DONEPEZIL.HCL,DORZOLAMIDE.TIMOLOL,DOXAZOSIN.MESYLATE,DOXEPIN.HCL,DOXYCYCLINE.HYCLATE,DULOXETINE.HCL,ENALAPRIL.MALEATE,ESCITALOPRAM.OXALATE,ESTRADIOL,EXELON,FAMOTIDINE,FELODIPINE.ER,FENOFIBRATE,FENTANYL,FINASTERIDE,FLOVENT.HFA,FLUCONAZOLE,FLUOXETINE.HCL,FLUTICASONE.PROPIONATE,FUROSEMIDE,GABAPENTIN,GEMFIBROZIL,GLIMEPIRIDE,GLIPIZIDE,GLIPIZIDE.ER,GLIPIZIDE.XL,GLYBURIDE,HALOPERIDOL,HUMALOG,HYDRALAZINE.HCL,HYDROCHLOROTHIAZIDE,HYDROCODONE.ACETAMINOPHEN,HYDROCORTISONE,HYDROMORPHONE.HCL,HYDROXYZINE.HCL,IBANDRONATE.SODIUM,IBUPROFEN,INSULIN.SYRINGE,IPRATROPIUM.BROMIDE,IRBESARTAN,ISOSORBIDE.MONONITRATE.ER,JANTOVEN,JANUMET,JANUVIA,KETOCONAZOLE,KLOR.CON.10,KLOR.CON.M10,KLOR.CON.M20,LABETALOL.HCL,LACTULOSE,LAMOTRIGINE,LANSOPRAZOLE,LANTUS,LANTUS.SOLOSTAR,LATANOPROST,LEVEMIR,LEVEMIR.FLEXPEN,LEVETIRACETAM,LEVOFLOXACIN,LEVOTHYROXINE.SODIUM,LIDOCAINE,LISINOPRIL,LISINOPRIL.HYDROCHLOROTHIAZIDE,LITHIUM.CARBONATE,LORAZEPAM,LOSARTAN.HYDROCHLOROTHIAZIDE,LOSARTAN.POTASSIUM,LOVASTATIN,LOVAZA,LUMIGAN,LYRICA,MECLIZINE.HCL,MELOXICAM,METFORMIN.HCL,METFORMIN.HCL.ER,METHADONE.HCL,METHOCARBAMOL,METHOTREXATE,METHYLPREDNISOLONE,METOCLOPRAMIDE.HCL,METOLAZONE,METOPROLOL.SUCCINATE,METOPROLOL.TARTRATE,METRONIDAZOLE,MIRTAZAPINE,MONTELUKAST.SODIUM,MORPHINE.SULFATE,MORPHINE.SULFATE.ER,MUPIROCIN,NABUMETONE,NAMENDA,NAMENDA.XR,NAPROXEN,NASONEX,NEXIUM,NIACIN.ER,NIFEDICAL.XL,NIFEDIPINE.ER,NITROFURANTOIN.MONO.MACRO,NITROSTAT,NORTRIPTYLINE.HCL,NOVOLOG,NOVOLOG.FLEXPEN,NYSTATIN,OLANZAPINE,OMEPRAZOLE,ONDANSETRON.HCL,ONDANSETRON.ODT,ONGLYZA,OXCARBAZEPINE,OXYBUTYNIN.CHLORIDE,OXYBUTYNIN.CHLORIDE.ER,OXYCODONE.ACETAMINOPHEN,OXYCODONE.HCL,OXYCONTIN,PANTOPRAZOLE.SODIUM,PAROXETINE.HCL,PHENOBARBITAL,PHENYTOIN.SODIUM.EXTENDED,PIOGLITAZONE.HCL,POLYETHYLENE.GLYCOL.3350,POTASSIUM.CHLORIDE,PRADAXA,PRAMIPEXOLE.DIHYDROCHLORIDE,PRAVASTATIN.SODIUM,PREDNISONE,PREMARIN,PRIMIDONE,PROAIR.HFA,PROMETHAZINE.HCL,PROPRANOLOL.HCL,PROPRANOLOL.HCL.ER,QUETIAPINE.FUMARATE,QUINAPRIL.HCL,RALOXIFENE.HCL,RAMIPRIL,RANEXA,RANITIDINE.HCL,RESTASIS,RISPERIDONE,ROPINIROLE.HCL,SEROQUEL.XR,SERTRALINE.HCL,SIMVASTATIN,SOTALOL,SPIRIVA,SPIRONOLACTONE,SUCRALFATE,SULFAMETHOXAZOLE.TRIMETHOPRIM,SUMATRIPTAN.SUCCINATE,SYMBICORT,SYNTHROID,TAMSULOSIN.HCL,TEMAZEPAM,TERAZOSIN.HCL,TIMOLOL.MALEATE,TIZANIDINE.HCL,TOLTERODINE.TARTRATE.ER,TOPIRAMATE,TOPROL.XL,TORSEMIDE,TRAMADOL.HCL,TRAVATAN.Z,TRAZODONE.HCL,TRIAMCINOLONE.ACETONIDE,TRIAMTERENE.HYDROCHLOROTHIAZID,VALACYCLOVIR,VALSARTAN,VALSARTAN.HYDROCHLOROTHIAZIDE,VENLAFAXINE.HCL,VENLAFAXINE.HCL.ER,VENTOLIN.HFA,VERAPAMIL.ER,VESICARE,VOLTAREN,VYTORIN,WARFARIN.SODIUM,XARELTO,ZETIA,ZIPRASIDONE.HCL,ZOLPIDEM.TARTRATE,Opioid.Prescriber,Deaths
AK,11,11,0,70,46,87,36,90,0,43,703,0,0,29,12,267,511,14,37,52,12,0,0,19,12,11,0,0,55,14,29,0,0,0,43,0,203,0,112,29,11,46,0,31,220,0,53,131,86,83,0,0,57,93,13,0,90,11,0,0,0,13,15,12,0,76,0,52,0,117,0,52,0,26,154,0,89,18,12,58,0,40,41,157,0,0,27,0,367,406,41,23,165,0,45,0,15,11,30,396,430,0,84,22,0,37,11,0,13,72,0,0,16,0,34,0,0,21,13,27,0,62,88,0,0,0,11,16,506,11,823,182,21,136,28,261,52,44,0,31,0,31,439,103,69,0,48,0,0,11,290,135,14,45,103,11,157,13,0,45,12,41,0,136,0,0,0,11,18,12,0,0,61,46,709,17,0,0,0,58,0,87,217,31,197,138,22,53,12,62,123,0,0,174,103,48,0,127,0,27,13,148,0,0,0,0,156,0,85,12,0,176,521,0,87,11,0,15,0,32,190,267,0,26,0,66,11,45,0,24,118,15,222,75,30,0,0,13,0,67,28,11,13,29,0,162,16,30,111,136,27,124.0
AL,1033,920,661,3335,395,3303,6682,12344,2027,3416,27347,3226,3018,1991,1070,7041,20654,532,5470,1723,2559,2175,849,759,666,1491,486,1117,1124,1982,2043,2080,620,1738,767,451,16534,388,2859,2738,296,977,522,4189,9175,861,1047,8199,6071,11553,770,1442,768,6237,2879,1056,1983,1044,1022,2014,1972,835,1841,824,495,1917,561,1561,794,7098,614,1325,964,2209,6206,2660,6736,2042,1589,2372,826,4301,1738,1304,51,2773,3861,6962,21176,17058,1238,5661,2315,1245,444,632,483,2377,4602,11395,34560,431,222,1054,299,2194,1775,255,862,4394,104,518,2792,671,1145,890,3003,730,734,1166,1261,2656,3340,3300,1315,1179,2128,4451,31051,482,23589,8206,276,6757,7687,13261,2447,652,1054,4944,2170,13435,16966,4604,709,1593,2011,2620,1466,686,12224,11680,1168,5296,5936,488,1100,1037,508,5508,1072,1898,522,7901,556,397,1134,1043,1389,1133,1633,867,1177,1158,31313,1551,441,483,346,1436,1186,4001,1641,716,13929,2811,622,1034,2035,2456,13357,1214,1444,15562,6754,1210,827,4581,2307,989,488,5036,828,567,3118,953,4737,648,2303,2976,270,8525,22557,726,3411,4175,1551,3806,640,1249,3198,6920,2414,1057,1060,4243,637,1542,167,1356,15264,608,9645,1901,4619,841,429,2394,646,2585,835,1857,1196,1123,700,9376,3174,2985,320,7632,244,723.0
AR,1373,580,325,1392,279,1819,2639,5055,842,2073,12865,1069,2185,696,674,3926,8302,542,2130,929,691,863,570,483,1347,395,73,485,501,1183,1049,963,542,900,802,119,5878,409,789,1212,251,230,271,2291,5932,476,223,5016,1832,5980,308,200,408,1894,1320,602,2186,652,275,854,907,695,383,435,279,1141,103,654,1268,3596,820,964,301,722,3035,1534,2833,1179,473,1267,146,1733,941,2178,144,977,2625,2783,10501,9833,589,2342,1839,1056,404,404,908,338,1173,5904,16788,117,235,240,251,952,570,26,328,2420,88,237,955,223,232,442,1308,348,166,1312,725,1074,1273,3435,351,431,1137,1444,14123,0,14600,3675,485,3023,1798,4983,1365,111,294,1908,526,5577,8402,1413,573,302,161,702,775,248,4714,7461,253,1909,1786,193,1174,394,168,1986,477,1013,206,2679,253,264,1406,480,481,769,469,373,382,1204,12135,344,281,254,304,1300,648,2475,2065,364,3334,1427,141,650,691,1251,7189,431,612,7106,2098,852,462,2067,803,1040,179,2722,497,385,906,457,2581,615,2248,1058,246,4051,11817,529,1220,1878,728,1727,305,652,1785,5549,939,996,901,1954,165,1034,0,183,5433,434,4825,797,2828,216,144,1367,564,1654,631,616,1087,375,237,5064,772,1150,421,3744,159,356.0
AZ,638,1102,1166,3041,28,4645,3443,5025,949,2291,16011,550,2519,1390,290,6768,14195,506,3130,2456,1449,1078,833,136,948,255,165,469,1325,974,933,969,251,1511,1176,442,5467,29,1194,2492,462,299,280,3970,5095,519,1074,3318,1854,6490,207,277,321,3909,1414,382,1845,1471,378,1175,657,415,885,616,233,1220,74,540,714,3414,283,1699,330,1029,3280,992,2784,1095,478,925,202,2392,1436,3704,343,1169,3540,7051,9813,12459,1081,1941,3059,621,538,493,535,796,1647,8279,16095,391,728,504,688,2496,1389,394,598,1427,40,212,1282,333,957,394,749,355,360,1586,267,2843,1881,1823,479,529,1287,2055,24786,1045,25356,2529,293,5140,1255,8961,4321,130,930,2809,457,2720,13071,1395,1032,1033,1811,1566,192,366,7099,11334,586,1532,4047,958,5101,437,288,1425,620,1267,309,1146,230,180,1524,529,492,959,570,502,459,853,14522,590,287,256,291,1696,981,8770,8526,1678,5843,2072,74,273,1241,935,5112,632,634,7522,6173,616,577,4320,439,1064,216,2356,445,292,557,171,3761,392,1637,1342,72,4825,15932,639,2711,2022,184,1461,574,1499,3008,6405,1661,1396,742,2613,115,1113,197,174,7284,678,5446,1601,2562,349,320,757,431,1869,492,878,690,890,538,7135,1500,1390,325,4605,331,1211.0
CA,8621,9133,4133,15647,1385,37710,21433,24925,6326,7657,105510,3855,13566,3602,740,55657,106027,4707,14922,9228,5173,25440,4571,2038,10969,382,4158,1065,4850,6346,4807,4256,3131,6731,6341,656,36074,943,8920,13531,2131,2688,2344,19034,18690,1497,5052,19223,13994,34753,1776,3609,2671,18155,4426,5324,8884,5992,1760,6229,4561,2540,4144,1989,1497,17355,1597,10143,5571,25412,3679,8517,1037,3337,12912,8347,16271,5906,2020,18668,2959,11923,5677,17957,957,2568,18371,30372,61750,54876,4797,10638,28350,1736,995,2983,4588,3691,11302,53522,110347,2950,2996,2479,2256,25094,9824,1947,1113,12157,685,2019,14370,4528,2181,799,1563,2760,5374,7922,3035,11632,7352,17585,1918,1704,8632,7935,99884,4374,104045,12945,3036,31784,10833,63904,26375,4539,4869,7821,5600,13992,79029,7123,4012,1243,6156,2073,3124,1418,32735,49451,2418,12349,16183,1471,8313,2386,1922,12993,3524,10143,2765,15510,1528,1773,8344,2764,4646,5060,3492,1936,2099,12244,86948,2184,1415,1400,1905,6490,5411,11723,6748,3351,30415,12634,1465,3679,8949,4479,22292,3072,2521,27301,21174,5342,1679,26264,1086,5492,872,22095,1187,1168,3825,2260,13634,6404,17002,4022,2328,23868,101993,1841,15372,9817,1989,10619,2908,6219,10617,43143,12736,12488,5338,2658,756,5708,271,717,30379,5234,26342,15286,13082,2074,1924,8825,1450,8043,3417,3710,4791,8997,1531,37906,5985,8431,4094,28895,1462,4521.0
CO,424,478,627,1444,75,2243,1968,1551,192,885,8182,134,1462,455,124,3216,8399,70,1169,713,401,203,164,27,378,137,232,59,335,441,235,663,224,1661,395,74,2208,221,651,755,544,322,58,970,2583,240,368,1614,474,2296,55,53,293,1342,532,96,931,264,241,481,225,200,205,95,36,417,118,385,174,1516,137,545,114,484,1167,294,901,517,78,385,69,919,874,1382,123,131,1655,3727,5875,5442,358,597,1560,287,359,153,29,391,487,4221,8054,183,458,80,67,822,361,195,97,450,0,143,530,85,125,164,591,263,153,516,138,1018,644,1376,161,48,572,597,12337,346,13516,2299,128,2257,847,4888,1815,98,434,1043,87,1174,6045,604,357,119,289,418,95,76,3198,5372,144,1014,1895,254,1550,53,67,836,137,528,207,1047,151,13,133,211,301,533,196,103,149,704,9147,385,165,27,123,572,473,3825,3494,1010,2228,826,81,281,502,761,2400,256,482,2410,2682,314,289,2879,103,499,91,880,74,63,236,34,2032,532,626,636,192,2455,9951,39,2016,1548,107,660,184,1094,1408,3663,631,936,409,467,36,396,78,70,3974,414,2480,943,1270,121,33,205,57,1020,475,316,248,503,123,5464,501,437,183,2051,256,899.0
CT,2350,523,277,2142,207,1297,2305,3706,472,583,10992,500,1790,733,342,3692,13031,273,1644,537,638,416,320,182,1539,47,422,69,708,1366,670,625,383,712,28,226,2600,341,524,1333,517,357,87,1352,2612,185,172,5269,481,2991,313,348,37,3060,353,935,828,139,353,747,740,542,933,160,262,1654,59,1175,1201,2690,803,532,174,328,3359,567,4668,127,665,690,94,1105,774,929,173,152,1918,1629,9705,5194,171,750,615,356,131,163,537,422,821,5453,3124,51,348,217,61,809,254,101,190,1627,203,157,1188,107,137,242,801,339,407,1748,447,682,1262,1337,204,305,1037,693,9212,642,10838,1482,482,4047,800,3989,904,193,1204,1191,375,1255,5162,778,101,102,723,542,156,271,7333,7124,83,3035,1834,159,342,406,220,1480,961,483,643,2719,141,44,365,229,307,324,236,439,279,1643,6776,492,53,79,909,264,662,2429,2172,647,4340,1379,119,214,314,737,2080,573,230,3491,2885,198,223,1710,12,374,163,3441,530,89,722,588,814,655,2760,349,512,4219,7494,173,2268,875,104,804,135,786,1048,3076,174,371,746,245,118,1203,294,224,2690,790,5480,527,478,188,345,822,93,1686,305,461,597,469,218,7830,826,1406,561,3496,202,623.0
DE,53,345,92,635,22,511,569,1421,334,126,2665,139,719,235,53,1350,3928,215,659,106,208,118,276,38,66,29,152,106,40,167,46,172,61,238,91,154,1638,56,328,482,56,102,87,988,574,155,223,344,251,1517,127,126,100,1522,429,59,193,113,29,284,135,35,95,80,26,705,27,93,18,509,148,234,30,462,277,305,388,13,11,123,182,695,160,300,111,82,266,1368,2409,1513,205,391,414,416,167,81,0,141,382,1637,975,65,89,0,0,363,86,122,41,601,0,77,303,157,39,41,226,66,24,47,139,123,337,642,12,92,357,603,2845,59,3824,592,0,532,210,1458,451,43,230,240,148,901,1838,303,13,67,237,291,27,52,1997,1316,132,200,930,47,374,98,68,225,98,279,323,709,173,199,147,100,205,100,0,102,12,170,2111,56,29,30,49,145,195,997,923,130,748,257,69,53,123,353,720,330,122,2133,1131,23,107,1014,37,84,29,265,164,0,344,100,454,80,65,306,24,516,2316,67,729,460,38,498,80,469,493,1214,93,131,272,385,13,346,205,0,1474,236,513,266,159,81,272,504,0,193,128,190,264,29,132,1480,561,427,28,767,51,189.0
FL,4852,2917,2668,12836,1141,17557,13908,44165,3560,5546,79489,3940,11825,6010,2491,29615,63102,2438,17532,7800,4013,5307,3001,1401,4480,896,3387,2572,3434,5995,5974,3505,1807,4602,4388,2364,29375,1544,4962,7407,2753,1954,1915,16723,20241,1962,3373,21076,9746,37224,4526,1044,2171,25781,5656,2820,9277,4292,3263,5088,4851,1859,2695,1582,1672,8081,798,3831,2827,19694,5007,7259,1293,4828,12896,10912,16573,3423,3729,8376,619,13825,6333,9561,502,2979,12561,24961,44249,45856,4746,12154,13197,3651,1477,1680,1777,2312,5983,35292,48622,1553,2860,1389,1103,13872,5053,1432,2363,10917,2883,1721,6798,5002,2382,1046,2714,2341,2747,5545,3698,6544,5909,18771,2602,2124,4847,7882,77172,3848,88427,14277,1957,17899,14601,47111,19607,1891,12357,8479,5579,18518,55550,6139,4167,1863,1757,9819,3519,853,33021,48655,2683,9691,16573,3030,11353,4730,417,10628,5444,6397,2472,12783,1104,1387,5909,1683,4128,1547,2559,2156,1978,4414,82714,2757,1171,1653,1890,4835,2708,24523,13500,3554,25854,9824,583,1712,2967,3830,21877,2683,2156,28976,17272,2442,1925,14494,1609,2676,761,12973,1191,638,4641,1938,15369,5813,8453,4259,3376,22489,75182,2280,9481,7895,1833,8436,1445,9232,11124,24872,23257,3221,7857,6454,298,4804,975,1055,31312,7572,21364,5652,7501,1800,1167,5959,1458,6089,6635,3410,3738,11890,1497,24276,7881,7195,2078,20720,875,2634.0
GA,1477,1211,872,5235,993,5054,9632,13752,1961,4372,43822,3136,5458,2746,453,11141,29410,2128,6206,2589,2931,3413,1911,1270,1979,1650,524,837,1769,2344,2440,3593,649,3184,2113,294,17018,1053,3141,3078,413,1210,667,7399,13085,1239,1064,10308,6524,15819,1145,2052,1433,10266,3348,1692,3528,3165,1457,2329,1521,1242,1986,1052,679,4637,804,2183,1615,8823,798,3691,859,2370,7335,1854,8127,2728,1653,6860,774,7851,2882,5149,282,2821,7362,12068,27172,25375,1946,10170,5442,2400,1354,952,603,2663,7449,16731,38168,663,555,1343,446,3104,3294,584,906,5385,453,1022,4839,1279,1427,989,3748,1636,689,1764,2226,4782,4140,3284,1504,1478,3186,4244,44156,903,40550,11793,497,6640,8084,19646,5153,482,1448,4749,2232,12321,24515,5209,454,665,2133,2383,1384,1157,15613,21763,990,5823,9171,345,2170,1833,393,5499,2306,2008,1100,11626,1193,604,3557,1986,1473,1044,2042,1500,879,2174,32472,2322,637,1003,1263,2040,1839,8647,3182,856,12630,4402,487,1549,2090,3181,16526,1032,1563,23769,10061,1807,1014,6735,2894,1332,1009,7239,883,867,1967,1185,11825,784,4653,4075,319,12447,33253,671,5106,5264,1838,3873,799,2892,6484,12802,3401,1757,1108,4092,406,2496,262,1795,16407,1261,9888,2735,5958,1048,939,4360,1105,4114,2352,2245,1402,2625,620,11811,2381,3840,1214,12652,398,1206.0
