NPI,NPPES Provider Last/Org Name,NPPES Provider First Name,NPPES Provider Zip Code,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
1952310666,A'BODJEDI,ENENGE,6902,CT,Psychiatry,4476,0,0.00%
1922419209,AAMAR,ALI,6708,CT,Student in an Organized Health Care Education/Training Program,91,,
1336297894,AARON,STUART,6880,CT,Ophthalmology,388,0,0.00%
1417991456,AARONSON,BETH,6810,CT,Physical Medicine and Rehabilitation,378,123,32.54%
1285925305,AARONSON,NICOLE,6510,CT,Student in an Organized Health Care Education/Training Program,87,19,21.84%
1659331940,AARONSON,ROBERT,6405,CT,Gastroenterology,394,,
1124292966,ABARIENTOS,CRISPIN,6457,CT,Rheumatology,1299,387,29.79%
1063572014,ABASTILLAS,ANNA LIZA,6489,CT,Nurse Practitioner,2212,113,5.11%
1568795821,ABASTILLAS,RENATO,6067,CT,Nurse Practitioner,242,139,57.44%
1861489585,ABAY,ABERA,6360,CT,Gastroenterology,1274,,
1275579732,ABBATIELLO,CAROL,6105,CT,Emergency Medicine,264,90,34.09%
1386612026,ABBED,KHALID,6510,CT,Neurosurgery,82,39,47.56%
1821232034,ABBENANTE,THOMAS,6460,CT,Family Practice,120,,
1609857473,ABBOSH,JASMINE,6119,CT,Allergy/Immunology,344,0,0.00%
1821358284,ABBOTT,AMANDA,6511,CT,Certified Nurse Midwife,15,0,0.00%
1083658629,ABBOTT,JAY,6759,CT,Specialist,22,0,0.00%
1619901378,ABBOTT,KATHLEEN,6112,CT,Physical Medicine and Rehabilitation,457,158,34.57%
1518965433,ABBOTT,LINCOLN,6030,CT,Emergency Medicine,41,,
1023130705,ABBOTT,STEVEN,6268,CT,Dentist,35,14,40.00%
1811299159,ABDEL-HAFEZ,OSAMA,6102,CT,Internal Medicine,101,,
1467649558,ABDELHAFIZ,GADA,6320,CT,Internal Medicine,157,,
1316383979,ABDELHAKIM,MOHAMED,6032,CT,Student in an Organized Health Care Education/Training Program,61,21,34.43%
1275971905,ABDELSAYED,CHRISTINE,6105,CT,Student in an Organized Health Care Education/Training Program,393,0,0.00%
1144298613,ABDELSAYED,GEORGE,6610,CT,Gastroenterology,108,0,0.00%
1801050208,ABDELWAHAB ELHAMAHMI,DINA,6510,CT,Internal Medicine,65,,
1790840809,ABDER,ROXANNE,6611,CT,Obstetrics/Gynecology,81,0,0.00%
1124272950,ABDI,THURAYA,6032,CT,Nurse Practitioner,119,0,0.00%
1881919637,ABDI,TSION,6510,CT,Student in an Organized Health Care Education/Training Program,16,0,0.00%
1962630905,ABDOUN,EZZAT,6030,CT,Student in an Organized Health Care Education/Training Program,51,20,39.22%
1861606782,ABDULLA,LEITH,6360,CT,Internal Medicine,1487,,
1346460748,ABEDI,MEHRAN,6119,CT,Dentist,33,,
1265553119,ABEL,BRUCE,6107,CT,Dentist,26,0,0.00%
1285737155,ABELES,ARYEH,6450,CT,Rheumatology,2033,200,9.84%
1497751556,ABELES,MICHA,6450,CT,Rheumatology,4371,573,13.11%
1548211519,ABELLA,GABRIEL,6254,CT,Physical Medicine and Rehabilitation,634,191,30.13%
1518014539,ABIDOR,GERARD,6605,CT,Internal Medicine,1839,77,4.19%
1134134315,ABIJO,ATINUKE,6516,CT,Internal Medicine,303,,
1891727152,ABLOW,KAREN,6443,CT,Oral Surgery (dentists only),33,12,36.36%
1720499833,ABOU ZIKI,MAEN,6708,CT,Student in an Organized Health Care Education/Training Program,81,,
1881615730,ABOULIAN,JILL,6410,CT,Physician Assistant,907,49,5.40%
1760657647,ABRAHAM,BINNY,6510,CT,Internal Medicine,1036,0,0.00%
1407171085,ABRAHAM,CELIN,6706,CT,Physician Assistant,31,,
1821439688,ABRAHAM,FLORINE,6513,CT,Dentist,21,0,0.00%
1396041539,ABRAHAM,GINEESHA,6510,CT,Nurse Practitioner,309,14,4.53%
1316197783,ABRAHAM,JOSSIE,6824,CT,Podiatry,105,31,29.52%
1023044252,ABRAHAM,RICHARD,6019,CT,Internal Medicine,683,,
1326022302,ABRAHAMS,IRWIN,6510,CT,Ophthalmology,23,0,0.00%
1508886227,ABRAHAMS,WAYNE,6721,CT,Emergency Medicine,214,47,21.96%
1487698635,ABRAHAMSEN,THOMAS,6880,CT,Podiatry,127,,
1780940080,ABRAHAMSON,INGRID,6040,CT,Physician Assistant,207,62,29.95%
1407864887,ABRAMOVICH,IRENE,6040,CT,Psychiatry,1981,,
1568647949,ABRAMOVICH,NATALLIA,6850,CT,Internal Medicine,70,,
1174728604,ABRAMS,KAREN,6880,CT,Specialist,56,0,0.00%
1073675922,ABRAMS,LINUS,6831,CT,Psychiatry & Neurology,342,0,0.00%
1073507851,ABRAMS,MARTIN,6810,CT,Medical Oncology,482,45,9.34%
1437303831,ABRAMSON,CAILYN,6013,CT,Dentist,100,23,23.00%
1962761569,ABRANTES-FIGUEIREDO,JESSICA,6030,CT,Student in an Organized Health Care Education/Training Program,714,,
1144652348,ABREU,ELIZABETH,6804,CT,Physician Assistant,344,,
1003996240,ABREU,JOSEPH,6790,CT,Cardiology,3907,,
1538276134,ABREU-LANFRANCO,ODALIZ,6511,CT,Internal Medicine,92,,
1083693022,ABRIOLA,KENNETH,6033,CT,Internal Medicine,2728,36,1.32%
1194713495,ABU-KHALAF,MAYSA,6519,CT,Medical Oncology,104,,
1386679322,ABUNASRA,NAZEEH,6074,CT,Oral Surgery (dentists only),449,209,46.55%
1699903401,ABUNNAJA,SALIM,6706,CT,Student in an Organized Health Care Education/Training Program,18,,
1063454247,ACCOMANDO,ANGELO,6512,CT,Internal Medicine,3939,164,4.16%
1891876876,ACCORSINI,ELAINE,6850,CT,Physician Assistant,59,,
1093991077,ACEVEDO,YADIRA,6108,CT,Family Practice,1258,38,3.02%
1437131760,ACHARYA,AMI,6511,CT,Obstetrics/Gynecology,125,,
1033422662,ACHARYA,SAMPADA,6810,CT,Student in an Organized Health Care Education/Training Program,477,21,4.40%
1700806213,ACHONG,MARIE,6102,CT,Obstetrics/Gynecology,26,0,0.00%
1831331602,ACKERLY,TARA,6810,CT,Nurse Practitioner,1188,0,0.00%
1497982235,ACKERMAN,ADAM,6510,CT,Internal Medicine,84,,
1396060604,ACKERMAN,JASON,6708,CT,Internal Medicine,1965,161,8.19%
1487614160,ACKERMAN,PETER,6810,CT,Physician Assistant,17,,
1285708826,ACKERMAN,SIGURD,6840,CT,Psychiatry & Neurology,24,0,0.00%
1114928074,ACKLEY,MICHAEL,6410,CT,Podiatry,91,0,0.00%
1023102092,ACOSTA,RODRIGO,6902,CT,Family Practice,8674,77,0.89%
1033556675,ADABONYAN,IFE,6032,CT,Student in an Organized Health Care Education/Training Program,17,,
1104928340,ADACHI,MARI,6360,CT,Pulmonary Disease,2030,23,1.13%
1386704682,ADADE,ANDREWS,6902,CT,Pediatric Medicine,73,0,0.00%
1619129582,ADAJIAN,ALLISON,6102,CT,Physician Assistant,70,11,15.71%
1396877981,ADAMIDIS,THEODORE,6111,CT,Dentist,48,,
1770620767,ADAMS,ARTHUR,6484,CT,Dentist,31,,
1497026066,ADAMS,BERESHITH,6105,CT,Nurse Practitioner,46,,
1851666192,ADAMS,CATHERINE,6510,CT,Student in an Organized Health Care Education/Training Program,351,12,3.42%
