Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId
STOP & SHOP PHARMACY #621,(203) 262-4559,PCY.0002018,"100 MAIN ST N
CT 06488-3839
(41.479314, -73.213302)",100 MAIN ST N,SOUTHBURY,CT,06488-3839,416692
SEYBRIDGE PHARMACY INC,203-888-0073,PCY.0001292,"37 NEW HAVEN RD
CT 06483-3460
(41.397075, -73.062479)",37 NEW HAVEN RD,SEYMOUR,CT,06483-3460,38450
RITE AID  #10371,(203) 488-8703,PCY.0001449,"280 BRANFORD RD
CT 06471-9995
(41.32508, -72.770164)",280 BRANFORD RD,NORTH BRANFORD,CT,06471-9995,38899
CVS PHARMACY #798,(203) 790-9485,PCY.0001261,"299 WHITE ST
CT 06810-6934
(41.399293, -73.431751)",299 WHITE ST # 305,DANBURY,CT,06810-6934,38436
WALGREENS #10483,(860) 440-3566,PCY.0001728,"698 BANK ST
CT 06320-5040
(41.349444, -72.104482)",698 BANK ST,NEW LONDON,CT,06320-5040,222256
RITE AID  #475,(860) 628-2444,PCY.0001124,"167 MAIN ST
CT 06489-2505
(41.598747, -72.877857)",167 MAIN ST,SOUTHINGTON,CT,06489-2505,38014
WALGREENS #01451,(203) 878-7265,PCY.0001950,"1083 BOSTON POST RD
CT 06460-3550
(41.233347, -73.042961)",1083 BOSTON POST RD,MILFORD,CT,06460-3550,392857
CVS PHARMACY #718,(203) 735-7837,PCY.0001239,"24 PERSHING DR
CT 06401-2214
(41.333425, -73.083809)",24 PERSHING DR,ANSONIA,CT,06401-2214,38243
RITE AID  #1087,(203) 272-3543,PCY.0000357,"180 MAIN ST
CT 06410-2406
(41.503777, -72.904016)",180 MAIN ST,CHESHIRE,CT,06410-2406,37129
BIG Y PHARMACY #81,(860) 872-0369,PCY.0001983,"33 FIELDSTONE
COMMONS, CT 06084
(41.859564, -72.358898)",33 FIELDSTONE COMMONS,TOLLAND,CT,06084,404381
CVS PHARMACY #1910,(860) 646-4510,PCY.0000993,"260 N MAIN ST
CT 06042-2004
(41.794967, -72.526425)",260 N MAIN ST,MANCHESTER,CT,06042-2004,37797
CVS PHARMACY #2109,(860) 870-6765,PCY.0001659,"22 WINDSOR AVE
CT 06066-2439
(41.867673, -72.467103)",22 WINDSOR AVE,VERNON ROCKVILLE,CT,06066-2439,191685
CVS PHARMACY #1070,(860) 623-2407,PCY.0000703,"90 MAIN ST
CT 06096-1913
(41.931198, -72.627544)",90 MAIN ST,WINDSOR LOCKS,CT,06096-1913,37548
STOP & SHOP #688,(860) 388-6461,PCY.0001357,"105 ELM ST
CT 06475-4132
(41.532309, -72.797821)",105 ELM ST,OLD SAYBROOK,CT,06475-4132,249867
STOP & SHOP #667,(860) 444-6772,PCY.0001260,"117 BOSTON POST RD
CT 06385-2400
(41.34205, -72.124278)",117 BOSTON POST RD,WATERFORD,CT,06385-2400,241634
CVS PHARMACY #1960,(203) 755-5490,PCY.0001506,"1279 W MAIN ST
CT 06708-3101
(41.552145, -73.06434)",1279 W MAIN ST,WATERBURY,CT,06708-3101,263895
STOLL'S PHARMACY,(203) 575-0199,PCY.0001330,"185 GROVE ST
CT 06710-2289
(41.55988, -73.042783)",185 GROVE ST,WATERBURY,CT,06710-2289,38469
CVS PHARMACY #388,(203) 245-3165,PCY.0001188,"613 BOSTON POST RD &amp; ROUTE
CT 06443-3080
",613 BOSTON POST RD & ROUTE 79,MADISON,CT,06443-3080,38220
RITE AID  #10356,(860) 848-7979,PCY.0001257,"601 ROUTE
STE F, CT 06382-2104
",601 ROUTE 32 STE F,UNCASVILLE,CT,06382-2104,38434
STOP & SHOP PHARMACY #682,(860) 445-8807,PCY.0001297,"220 ROUTE
CT 06340
",220 ROUTE 12,GROTON,CT,06340,38451
STOP & SHOP PHARMACY #2612,(203) 312-9818,PCY.0001860,"25 ROUTE
CT 06812-4615
",25 ROUTE 39,NEW FAIRFIELD,CT,06812-4615,360302
CVS/PHARMACY #17491,(860) 406-6755,PCY.0002122,"600 EXECUTIVE BLVD
CT 06489-6008
",600 EXECUTIVE BLVD,SOUTHINGTON,CT,06489-6008,513583
CANDLEWOOD DRUGS,203-312-9999,PCY.0002167,"11 ROUTE
CT 06812-4615
",11 ROUTE 37,NEW FAIRFIELD,CT,06812-4615,919983
CVS PHARMACY #556,(860) 464-0288,PCY.0002247,"1657 ROUTE
CT 06335-1533
",1657 ROUTE 12,GALES FERRY,CT,06335-1533,1085484
WALGREENS # 16549,,PCY.0002346,"ONE HOSPITAL PLAZA
CT 06902
",ONE HOSPITAL PLAZA SUITE G 122,STAMFORD,CT,06902,1391632
CONNECTICUT PHARMACY DIRECT,(203) 295-4629,PCY.0002331,"10 FAIRFIELD BLVD
UNIT C, CT 06492-5903
(41.487895, -72.789004)",10 FAIRFIELD BLVD UNIT C,WALLINGFORD,CT,06492-5903,1336533
MY FAIR HAVEN PHARMACY LLC,203-877-3479,PCY.0002315,"72 GRAND AVE
CT 06513-3997
(41.309401, -72.890486)",72 GRAND AVE,NEW HAVEN,CT,06513-3997,1283604
ALBION-HANCOCK PHARMACY,(203) 331-9200,PCY.0002332,"2125 FAIRFIELD AVE
CT 06605-2639
(41.16529, -73.218818)",2125 FAIRFIELD AVE,BRIDGEPORT,CT,06605-2639,1337244
CVS PHARMACY # 11007,(203) 498-9442,PCY.0002352,"123 CHURCH ST
CT 06510-2001
(41.306238, -72.925632)",123 CHURCH ST,NEW HAVEN,CT,06510-2001,1408430
